epoch,loss
1,44.99871826171875
2,44.93315505981445
3,44.868289947509766
4,44.80414581298828
5,44.740718841552734
6,44.67803955078125
7,44.61601257324219
8,44.554649353027344
9,44.49388885498047
10,44.43367004394531
11,44.37385940551758
12,44.314456939697266
13,44.25548553466797
14,44.19684982299805
15,44.13846206665039
16,44.080265045166016
17,44.02214813232422
18,43.96406173706055
19,43.906002044677734
20,43.84794616699219
21,43.789833068847656
22,43.73160171508789
23,43.673194885253906
24,43.61454772949219
25,43.555606842041016
26,43.49639129638672
27,43.43682861328125
28,43.37687683105469
29,43.316505432128906
30,43.25566101074219
31,43.19435119628906
32,43.132537841796875
33,43.070194244384766
34,43.007328033447266
35,42.943904876708984
36,42.8798942565918
37,42.8153190612793
38,42.75018310546875
39,42.6844596862793
40,42.61817932128906
41,42.551361083984375
42,42.48400115966797
43,42.416114807128906
44,42.347652435302734
45,42.27865219116211
46,42.209144592285156
47,42.13911437988281
48,42.06852340698242
49,41.99746322631836
50,41.925960540771484
51,41.85405731201172
52,41.78177261352539
53,41.709171295166016
54,41.636287689208984
55,41.563228607177734
56,41.49003219604492
57,41.41676330566406
58,41.34345626831055
59,41.270172119140625
60,41.197044372558594
61,41.12407302856445
62,41.05143737792969
63,40.9792366027832
64,40.90748977661133
65,40.836280822753906
66,40.76569366455078
67,40.695823669433594
68,40.62676239013672
69,40.558563232421875
70,40.491241455078125
71,40.42481994628906
72,40.35934066772461
73,40.29484558105469
74,40.2313346862793
75,40.16884231567383
76,40.10737228393555
77,40.046974182128906
78,39.98760986328125
79,39.92928695678711
80,39.87199020385742
81,39.81585693359375
82,39.76091003417969
83,39.70719528198242
84,39.654693603515625
85,39.60346603393555
86,39.553558349609375
87,39.505035400390625
88,39.4578742980957
89,39.412105560302734
90,39.36768341064453
91,39.32459259033203
92,39.28279495239258
93,39.24221420288086
94,39.20281982421875
95,39.1646614074707
96,39.127723693847656
97,39.091957092285156
98,39.057315826416016
99,39.02375793457031
100,38.99124526977539
